Entity,Sayfa_Frekans,Kaynak_Sayfa_Sayisi,Kaynak_Basliklar,Sayfa_IDleri
I. Dünya Savaşı,4,4,Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Araklı | Trabzon | Türkiye,Page_21 | Page_12 | Page_5 | Page_7
Demokratik Sol Parti,4,4,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2007 Türkiye genel seçimleri | Türkiye,Page_26 | Page_28 | Page_22 | Page_7
Devlet Bahçeli,4,4,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_10 | Page_24 | Page_26 | Page_16
Türkçe,4,4,Bakırköy Anadolu Lisesi | Trabzon | Gazi Üniversitesi | Türkiye,Page_23 | Page_5 | Page_19 | Page_7
Yunanistan,3,3,2002 Türkiye genel seçimleri | Trabzon | Türkiye,Page_26 | Page_5 | Page_7
Müslüman,3,3,Trabzon | Maliye | Türkiye,Page_5 | Page_9 | Page_7
Ermenistan,3,3,2002 Türkiye genel seçimleri | Trabzon | Türkiye,Page_26 | Page_5 | Page_7
ekonomik,3,3,Cumhuriyet Halk Partisi | Maliye | Türkiye,Page_28 | Page_9 | Page_7
Bülent Ecevit,3,3,Cumhuriyet Halk Partisi | 2002 Türkiye genel seçimleri | Türkiye,Page_28 | Page_26 | Page_7
Bağımsız Türkiye Partisi,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_15 | Page_24 | Page_16
Emek Partisi,3,3,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri,Page_10 | Page_24 | Page_26
Deniz Baykal,3,3,2011 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_15 | Page_26 | Page_28
Doğru Yol Partisi,3,3,2002 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_15 | Page_22
Genç Parti,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri,Page_15 | Page_24 | Page_26
Türk lirası,3,3,2002 Türkiye genel seçimleri | Gazi Üniversitesi | Türkiye,Page_26 | Page_19 | Page_7
Genelkurmay Başkanı,3,3,Cumhuriyet Halk Partisi | 2007 Türkiye genel seçimleri | Türkiye,Page_28 | Page_22 | Page_7
İYİ Parti,3,3,Cumhuriyet Halk Partisi | 2018 Türkiye genel seçimleri | Türkiye,Page_28 | Page_16 | Page_7
Osmanlı Devleti,3,3,Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Trabzon | Maliye,Page_21 | Page_5 | Page_9
Halkların Demokratik Partisi,3,3,Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2018 Türkiye genel seçimleri,Page_24 | Page_28 | Page_16
MHP,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_15 | Page_24 | Page_28
Anavatan Partisi,3,3,2002 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_15 | Page_22
Abdullah Gül,3,3,2002 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_22 | Page_28
CHP,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_15 | Page_24 | Page_22
İzmir,3,3,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | 2018 Türkiye genel seçimleri | Türkiye,Page_8 | Page_16 | Page_7
Avrupa,3,3,Araklı | Maliye | Türkiye,Page_12 | Page_9 | Page_7
Mustafa Kemal Atatürk,3,3,Cumhuriyet Halk Partisi | Gazi Üniversitesi | Türkiye,Page_28 | Page_19 | Page_7
2002,3,3,Haziran 2015 Türkiye genel seçimleri | Akif Hamzaçebi | Cumhuriyet Halk Partisi,Page_24 | Page_1 | Page_28
İstanbul,3,3,Cumhuriyet Halk Partisi | Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Türkiye,Page_28 | Page_21 | Page_7
Kafkasya,2,2,Trabzon | Türkiye,Page_5 | Page_7
Konstantinopolis,2,2,Trabzon | Türkiye,Page_5 | Page_7
İran,2,2,Trabzon | Türkiye,Page_5 | Page_7
Roma,2,2,Trabzon | Türkiye,Page_5 | Page_7
Pontus Rumcası,2,2,Trabzon | Türkiye,Page_5 | Page_7
Gazi Üniversitesi,2,2,Akif Hamzaçebi | Gazi Üniversitesi Sosyal Bilimler Enstitüsü,Page_1 | Page_14
Bizans,2,2,Trabzon | Türkiye,Page_5 | Page_7
Trabzon İmparatorluğu,2,2,Araklı | Trabzon,Page_12 | Page_5
Anadolu,2,2,Trabzon | Türkiye,Page_5 | Page_7
Roma İmparatorluğu,2,2,Trabzon | Türkiye,Page_5 | Page_7
Fırat,2,2,Trabzon | Türkiye,Page_5 | Page_7
cumhuriyet ilan edildi,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Lozan Antlaşması,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Türk Kurtuluş Savaşı,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
milliyetçilik,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Medler,2,2,Araklı | Türkiye,Page_12 | Page_7
Kimmerler,2,2,Araklı | Türkiye,Page_12 | Page_7
Türkiye Büyük Millet Meclisi,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
NATO,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Suriye,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
laik,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Konya,2,2,Gazi Üniversitesi | Türkiye,Page_19 | Page_7
Rum,2,2,Trabzon | Türkiye,Page_5 | Page_7
Rumlar,2,2,Trabzon | Türkiye,Page_5 | Page_7
Sivas Kongresi,2,2,Trabzon | Cumhuriyet Halk Partisi,Page_5 | Page_28
Sürmene,2,2,Araklı | Trabzon,Page_12 | Page_5
Soğuk Savaş,2,2,Trabzon | Türkiye,Page_5 | Page_7
Ermeniler,2,2,Trabzon | Türkiye,Page_5 | Page_7
Hristiyan,2,2,Trabzon | Türkiye,Page_5 | Page_7
ticaret,2,2,Trabzon | Ekonomist,Page_5 | Page_25
Mondros Mütarekesi,2,2,Trabzon | Türkiye,Page_5 | Page_7
Trabzon,2,2,Araklı | Akif Hamzaçebi,Page_12 | Page_1
Sosyaldemokrat Halkçı Parti,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Bursa,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
milletvekili,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
Kemalizm,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Tansu Çiller,2,2,2002 Türkiye genel seçimleri | Türkiye,Page_26 | Page_7
1997,2,2,2002 Türkiye genel seçimleri | Türkiye,Page_26 | Page_7
Süleyman Demirel,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Amerika Birleşik Devletleri,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
cumhurbaşkanı,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
II. Dünya Savaşı,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
toprak reformu,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Ahmet Davutoğlu,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Muharrem İnce,2,2,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | Cumhuriyet Halk Partisi,Page_8 | Page_28
TSİ,2,2,Araklı | Türkiye,Page_12 | Page_7
Cevdet Yılmaz,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
bankacılık,2,2,Ekonomist | Türkiye,Page_25 | Page_7
Kemal Derviş,2,2,2002 Türkiye genel seçimleri | Türkiye,Page_26 | Page_7
devlet,2,2,Gazi Üniversitesi | Türkiye,Page_19 | Page_7
Yalova,2,2,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | Türkiye,Page_8 | Page_7
laiklik,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Numan Kurtulmuş,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
Özgür Özel,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
PKK,2,2,2011 Türkiye genel seçimleri | Türkiye,Page_15 | Page_7
Toplumsal Uzlaşma Reform ve Kalkınma Partisi,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Ankara İktisadi ve Ticari İlimler Akademisi,2,2,Gazi Üniversitesi | Gazi Üniversitesi Sosyal Bilimler Enstitüsü,Page_19 | Page_14
İktisadi ve İdari Bilimler Fakültesi,2,2,Gazi Üniversitesi | Gazi Üniversitesi Sosyal Bilimler Enstitüsü,Page_19 | Page_14
Merkez Parti,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Halkın Yükselişi Partisi,2,2,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_15 | Page_24
25. dönem TBMM,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Millet İttifakı,2,2,Cumhuriyet Halk Partisi | 2018 Türkiye genel seçimleri,Page_28 | Page_16
Büyük Birlik Partisi,2,2,Haziran 2015 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_24 | Page_16
TBMM,2,2,2002 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_16
Çankaya,2,2,Gazi Üniversitesi | Cumhuriyet Halk Partisi,Page_19 | Page_28
Ahmet Necdet Sezer,2,2,2002 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_22
AK Partili,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
E-muhtıra,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
halk oylamasında,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
28 Ağustos 2007 tarihinde,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
Yaşar Büyükanıt,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
Selin Sayek Böke,2,2,Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_24 | Page_28
Necmettin Erbakan,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
28 Şubat Süreci,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
Mesut Yılmaz,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
